"observed_strength","hidden_strength","n_total","n_control","ps_observed_min","ps_observed_max","ps_observed_iqr","weight_cv_control","var_observed_control","var_ideal_control","epsilon_added_to_denominator","original_variance_ratio","stabilized_variance_ratio","original_R2","stabilized_R2","tau_observed","tau_ideal","tau_gap_observed_minus_ideal","original_bound","stabilized_bound","flag_good_overlap_instability","diagnostic_status","replicate","sample_size","grid_type"
0,0.12,300,138,0.5,0.5,0,0,0,0.00965009772588463,7.25651577503429e-05,Inf,132.98527867996,0.999999999999,0.99248037068519,0.375407140523639,0.270733849196973,0.104673291326666,NA,0.136729158265474,TRUE,"degenerate_or_near_degenerate_observed_weight_variance",1,300,"sample_size"
0,0.12,300,154,0.5,0.5,0,0,0,0.017338632004193,0.000111259148057797,Inf,155.840057261502,0.999999999999,0.993583164575447,0.00852899204005175,-0.109289359865665,0.117818351905716,NA,0.180702398454805,TRUE,"degenerate_or_near_degenerate_observed_weight_variance",2,300,"sample_size"
0,0.12,300,166,0.5,0.5,0,0,0,0.0191154505027975,0.000153464023167743,Inf,124.559816093857,0.999999999999,0.991971728673343,0.175201089953631,0.106104823742112,0.0690962662115199,NA,0.166519324848788,TRUE,"degenerate_or_near_degenerate_observed_weight_variance",3,300,"sample_size"
0,0.12,300,157,0.5,0.5,0,0,0,0.0193419068357384,0.000120538901657783,Inf,160.461946887912,0.999999999999,0.993767992851922,0.0759165829375562,-0.0269143944215402,0.102830977359096,NA,0.199006000241929,TRUE,"degenerate_or_near_degenerate_observed_weight_variance",4,300,"sample_size"
0,0.12,300,154,0.5,0.5,0,0,0,0.0161329487714318,0.000111259148057797,Inf,145.003346269118,0.999999999999,0.993103607428865,-0.064558864757865,-0.157331186896616,0.0927723221387506,NA,0.167693698270425,TRUE,"degenerate_or_near_degenerate_observed_weight_variance",5,300,"sample_size"
0,0.12,300,151,0.5,0.5,0,0,0,0.0162171060190302,0.000102702580964821,Inf,157.903587881448,0.999999999999,0.993667021671789,0.179004861325251,0.0907847540194752,0.088220107305776,NA,0.175805342425954,TRUE,"degenerate_or_near_degenerate_observed_weight_variance",6,300,"sample_size"
0,0.12,300,143,0.5,0.5,0,0,0,0.0118466102351447,8.29607691995619e-05,Inf,142.797738611219,0.999999999999,0.992997087981046,0.212672747533769,0.114071452665623,0.0986012948681461,NA,0.143031443144157,TRUE,"degenerate_or_near_degenerate_observed_weight_variance",7,300,"sample_size"
0,0.12,300,147,0.5,0.5,0,0,0,0.0127529509715136,9.23106497500961e-05,Inf,138.152542594365,0.999999999999,0.992761624352176,0.27341118169861,0.184939774907099,0.0884714067915116,NA,0.145853169689919,TRUE,"degenerate_or_near_degenerate_observed_weight_variance",8,300,"sample_size"
0,0.12,300,154,0.5,0.5,0,0,0,0.0156325997002277,0.000111259148057797,Inf,140.506196327397,0.999999999999,0.992882876156793,0.16044472697744,0.0688697232497449,0.0915750037276947,NA,0.156234727166763,TRUE,"degenerate_or_near_degenerate_observed_weight_variance",9,300,"sample_size"
0,0.12,300,157,0.5,0.5,0,0,0,0.0169043186062478,0.000120538901657783,Inf,140.239527436878,0.999999999999,0.99286934277178,0.0410390782903788,-0.0573615324686809,0.0984006107590597,NA,0.176554153845992,TRUE,"degenerate_or_near_degenerate_observed_weight_variance",10,300,"sample_size"
