"epsilon_fraction","observed_strength","n_replicates","flag_rate","var_observed_control_median","original_variance_ratio_median","stabilized_variance_ratio_median","ps_observed_iqr_median","weight_cv_control_median"
1e-06,0,30,1,0,NA,14677.3632318797,0,0
1e-06,0.001,30,1,9.84520144343589e-07,14404.4132961374,7263.01730458145,0.000338849691102899,0.00100114873841505
1e-06,0.005,30,1,2.44451173942005e-05,571.324273299015,549.564327452853,0.00167622577613388,0.00501848372426703
1e-06,0.02,30,0.333333333333333,0.000401387752094313,36.4348748309899,36.3467981733717,0.00674374484160395,0.0201828618436281
1e-06,0.1,30,0,0.00999757989556047,2.42839016631623,2.42814531823652,0.0336861033944222,0.101036483500616
1e-05,0,30,1,0,NA,1418.67783551266,0,0
1e-05,0.001,30,1,1.03490775948197e-06,14654.5630670381,1332.06351630438,0.000333944705463413,0.0009959170771168
1e-05,0.005,30,1,2.43815282012265e-05,578.45755524196,411.37241067859,0.00169424689320585,0.00498253832480827
1e-05,0.02,30,0.5,0.000395683009745559,36.290245521082,35.3746775352642,0.00670480849160107,0.0200036451240825
1e-05,0.1,30,0,0.0102777772225784,2.42412203508782,2.42173203054624,0.0337064477364532,0.100073024434844
1e-04,0,30,1,0,NA,144.539483107182,0,0
1e-04,0.001,30,1,1.00027862108956e-06,14082.9793200503,140.223979490114,0.000332752677740217,0.00100451378626877
1e-04,0.005,30,1,2.60742291325901e-05,590.151697344539,117.870555006116,0.00166972202895316,0.00499073655949123
1e-04,0.02,30,0.566666666666667,0.000394851143902224,37.7487764372046,30.206807586041,0.006776889930345,0.019912508123531
1e-04,0.1,30,0,0.00983984338008487,2.46356406833946,2.43844765209222,0.03351193748695,0.10043534196349
0.001,0,30,1,0,NA,14.5021538484995,0,0
0.001,0.001,30,1,1.01362060128002e-06,14424.5338187364,14.4255726693344,0.000335337800850738,0.00100107973544291
0.001,0.005,30,1,2.51710242667846e-05,566.598478613005,13.8632024560109,0.00166376191440326,0.00503143556360155
0.001,0.02,30,1,0.000403384382822422,38.2640859040481,10.8232386222185,0.00667879446977016,0.0198731304849587
0.001,0.1,30,0,0.0100643872524201,2.4436873648389,2.21941152500102,0.0338719571893021,0.099904361351998
0.01,0,30,1,0,NA,1.44834376137462,0,0
0.01,0.001,30,1,1.00079044556388e-06,14476.4329520332,1.45271447299206,0.000340948961928628,0.001002346814374
0.01,0.005,30,1,2.5369877076993e-05,577.455697782415,1.4377176723503,0.00167668749509048,0.00499517977152321
0.01,0.02,30,1,0.000406936733626943,36.3675618039363,1.4167983322316,0.0066549555156199,0.0201411904684515
0.01,0.1,30,0.666666666666667,0.00993572234191841,2.50178337667971,1.24010012429416,0.0333819910591172,0.0999046070156943
