"observed_strength","hidden_strength","n_total","n_control","ps_observed_min","ps_observed_max","ps_observed_iqr","weight_cv_control","var_observed_control","var_ideal_control","epsilon_added_to_denominator","original_variance_ratio","stabilized_variance_ratio","original_R2","stabilized_R2","tau_observed","tau_ideal","tau_gap_observed_minus_ideal","original_bound","stabilized_bound","flag_good_overlap_instability","diagnostic_status","replicate","epsilon_fraction","grid_type"
0,0.12,1800,911,0.5,0.5,0,0,0,0.0151821529066761,1.05010622266143e-06,Inf,14457.7306362378,0.999999999999,0.999930832851631,0.196092472730802,0.104807642406381,0.0912848303244205,NA,0.16205870227944,TRUE,"degenerate_or_near_degenerate_observed_weight_variance",17,1e-06,"epsilon_fraction"
0,0.12,1800,879,0.5,0.5,0,0,0,0.0135879176864306,9.10874385935129e-07,Inf,14917.4440474367,0.999999999999,0.99993296438741,0.0858621388820405,-0.0101251642092333,0.0959873030912738,NA,0.153724894635084,TRUE,"degenerate_or_near_degenerate_observed_weight_variance",18,1e-06,"epsilon_fraction"
0,0.12,1800,933,0.5,0.5,0,0,0,0.0166005184847861,1.15804408472121e-06,Inf,14334.9624628346,0.999999999999,0.99993024048702,-0.00509841050180493,-0.101475084391217,0.0963766738894125,NA,0.168996722725416,TRUE,"degenerate_or_near_degenerate_observed_weight_variance",19,1e-06,"epsilon_fraction"
0,0.12,1800,920,0.5,0.5,0,0,0,0.014801913482667,1.09297520661157e-06,Inf,13542.7715039902,0.999999999999,0.999926159870621,0.0789359953239185,-0.00822262620022007,0.0871586215241386,NA,0.159750310519565,TRUE,"degenerate_or_near_degenerate_observed_weight_variance",20,1e-06,"epsilon_fraction"
0,0.12,1800,946,0.5,0.5,0,0,0,0.0175757718663905,1.22706206911682e-06,Inf,14323.4578826487,0.999999999999,0.999930184456282,0.0166321763211021,-0.0766069321008775,0.0932391084219797,NA,0.176497708882817,TRUE,"degenerate_or_near_degenerate_observed_weight_variance",21,1e-06,"epsilon_fraction"
0,0.12,1800,905,0.5,0.5,0,0,0,0.0151626078686138,1.02247120876377e-06,Inf,14829.37391161,0.999999999999,0.999932566269759,0.0665749034869729,-0.0306782147351095,0.0972531182220824,NA,0.16507482141406,TRUE,"degenerate_or_near_degenerate_observed_weight_variance",22,1e-06,"epsilon_fraction"
0,0.12,1800,908,0.5,0.5,0,0,0,0.0148128956385866,1.03619618331356e-06,Inf,14295.4547383274,0.999999999999,0.999930047695697,0.187849033643424,0.0907690222356776,0.0970800114077465,NA,0.160695465880816,TRUE,"degenerate_or_near_degenerate_observed_weight_variance",23,1e-06,"epsilon_fraction"
0,0.12,1800,918,0.5,0.5,0,0,0,0.0171647737707476,1.08329862557268e-06,Inf,15844.9141959112,0.999999999999,0.99993688826663,0.196383614810293,0.0925656189574244,0.103817995852868,NA,0.176166485745922,TRUE,"degenerate_or_near_degenerate_observed_weight_variance",24,1e-06,"epsilon_fraction"
0,0.12,1800,926,0.5,0.5,0,0,0,0.0167898124555025,1.1225329765564e-06,Inf,14957.0772584416,0.999999999999,0.999933142018142,-0.00858363405958129,-0.0993256233904817,0.0907419893309004,NA,0.165795213764733,TRUE,"degenerate_or_near_degenerate_observed_weight_variance",25,1e-06,"epsilon_fraction"
0,0.12,1800,936,0.5,0.5,0,0,0,0.0186725021381643,1.17361111111111e-06,Inf,15910.2976798559,0.999999999999,0.999937147624757,0.0764790835339548,-0.0122799320731202,0.088759015607075,NA,0.172472915063687,TRUE,"degenerate_or_near_degenerate_observed_weight_variance",26,1e-06,"epsilon_fraction"
