"metric","paper_reported","current_version","difference_current_minus_paper","notes"
"n_total",1107,1107,0,"NHANES analysis sample size reported in the paper."
"n_treated",234,234,0,"Number of treated/high fish-shellfish consumers reported in the paper."
"n_control",873,873,0,"Number of controls reported in the paper."
"unweighted_ATT",2.37,2.36823368123647,-0.00176631876353373,"Paper reports the unweighted ATT rounded to 2.37."
"IPW_ATT",2.14,2.09257902777209,-0.0474209722279109,"Paper reports the IPW ATT rounded to 2.14."
"VBM_R2_star_bootstrap",0.52,0.519279299223351,-0.000720700776648542,"Paper reports the NHANES VBM threshold R2* around 0.52."
"ps_clip_lower",NA,0.01,NA,"Current implementation setting."
"ps_clip_upper",NA,0.99,NA,"Current implementation setting."
"weight_truncation",NA,0.996,NA,"Current implementation setting for main ATT weights."
