"stage","R2","lower","upper","n_valid","B"
"coarse",0,1.87135933000538,2.329547278869,500,500
"coarse",0.05,1.49485724453869,2.73851623100207,500,500
"coarse",0.1,1.30828940557523,2.92194775738787,500,500
"coarse",0.15,1.14923836883556,3.07413961588323,500,500
"coarse",0.2,1.00124595314446,3.22665535286351,500,500
"coarse",0.25,0.854175059754118,3.36899767001954,500,500
"coarse",0.3,0.701582899751872,3.50892472466007,500,500
"coarse",0.35,0.534427011748835,3.64932651738441,500,500
"coarse",0.4,0.364984459933599,3.80900598162882,500,500
"coarse",0.45,0.187469419033156,3.98783909386961,500,500
"coarse",0.5,-0.000778810073403365,4.18294316375408,500,500
"coarse",0.55,-0.212248882917718,4.39342636429752,500,500
"coarse",0.6,-0.451092390427157,4.61740158003491,500,500
"coarse",0.65,-0.72717778822869,4.882055916806,500,500
"coarse",0.7,-1.05337013777191,5.20318114158685,500,500
"coarse",0.75,-1.45599067624016,5.5978532570452,500,500
"coarse",0.8,-1.99119052902718,6.1384769467157,500,500
"coarse",0.85,-2.74758686005513,6.90112676758758,500,500
"coarse",0.9,-4.02585424398254,8.15689348391452,500,500
"coarse",0.95,-6.80395174055633,10.9367595049033,500,500
"fine",0.45,0.267657395065745,4.00548362672149,1000,1000
"fine",0.46,0.231205158789584,4.04216483422966,1000,1000
"fine",0.47,0.194131273892484,4.0767543321505,1000,1000
"fine",0.48,0.156396638033419,4.11260263217219,1000,1000
"fine",0.49,0.117735006255681,4.14967117832051,1000,1000
"fine",0.5,0.075760315279045,4.18742054368638,1000,1000
"fine",0.51,0.0357890299739182,4.22922824502579,1000,1000
"fine",0.52,-0.00277964758726521,4.27211903389503,1000,1000
"fine",0.53,-0.0436428014179222,4.3159151547652,1000,1000
"fine",0.54,-0.0863700352039309,4.35897134687228,1000,1000
"fine",0.55,-0.13003617192436,4.40147798384498,1000,1000
