"scenario","hidden_present","ps_setting","n_total","n_treated","n_control","true_ATT_among_treated","observed_analysis_ATT","oracle_full_ATT","observed_minus_oracle_ATT","VBM_R2_star","hidden_only_R2","misspec_only_R2","combined_error_R2","interaction_gap","misspec_can_mimic_hidden","benchmark_can_overturn","R2_above_baseline","error_source_label"
"no_hidden_correct",FALSE,"correct",900,211,689,0.8,0.593607808054913,0.597038321742918,-0.00343051368800562,0.0685881963131332,0.0141660871489548,0,0.0141660871489548,0,FALSE,FALSE,0,"A1: neither hidden U nor misspecification"
"hidden_correct",TRUE,"correct",900,224,676,0.8,1.24673200623101,0.997978344780491,0.248753661450519,0.32,0.435150585956901,0.180989021280316,0.435150585956901,-0.180989021280316,FALSE,TRUE,0.420984498807946,"B1: hidden U only"
"no_hidden_misspecified",FALSE,"misspecified",900,221,679,0.8,0.409044818121262,0.675222137207603,-0.266177319086341,0.02,0.0062191792537197,0,0,-0.0062191792537197,FALSE,FALSE,-0.0141660871489548,"A2: misspecification only"
"hidden_misspecified",TRUE,"misspecified",900,224,676,0.8,0.773206057060407,0.691656966694075,0.0815490903663317,0.22,0.397303498674918,0.25355498006329,0.436610398412476,-0.214248080325733,FALSE,TRUE,0.422444311263521,"B2: hidden U + misspecification"
